Endpoint,Description,Success,Status_Code,Response_Time_ms,Data_Count,Error
quote_asset,Consultar cotação de ativo,False,401,135.45,,
high_list,Consultar maiores altas do índice,False,401,16.17,,
fall_list,Consultar maiores baixas do índice,False,401,15.81,,
list_market,Consultar lista de mercados,False,401,-10831029.29,,
company_quotes,Consultar lista de papéis da empresa (options),False,401,16.45,,
quotes_index,Consultar lista de ativos de um índice,False,401,17.14,,
options_quote,Consultar lista de opções de um ativo,False,401,16.1,,
index_list,Consultar lista de índices de um mercado,False,401,15.63,,
quote_information,Consultar informações de um ativo,False,401,15.02,,
book,Consultar livro de ofertas,False,401,15.4,,
mini_book,Consultar melhores ofertas do livro de ofertas,False,401,15.59,,
aggregated_book,Consultar livro de ofertas agregado,False,401,15.21,,
news_by_date,Consultar notícias por período,False,401,15.39,,
news_by_code,Consultar notícias por código,False,401,16.66,,
relevant_facts,Consultar fatos relevantes por período,False,401,14.92,,
relevant_facts_by_quote,Consultar fatos relevantes de um ativo por período,False,401,15.71,,
